"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21251114	"地熱工学"	"[\"ENG-ERT2132J\"]"	"ENG"	"ERT"	"2132J"	"[\"西島　潤\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"地球環境工学科（地シス） / Department of Earth Resources, Marine and Civil Engineering"	"3"	3	2	2021	"夏学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251150	"(IUPE)Fundamentals of Integrated Circuits A"					"[\"浅野　種正\"]"			"英語（E）"	"工学部"	"2"		1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251151	"(IUPE)Fundamentals of Integrated Circuits B"					"[\"浅野　種正\"]"			"英語（E）"	"工学部"	"2"		1	2021	"夏学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251152	"(IUPE)Environmental Systems Engineering Ⅰ"					"[\"島岡　隆行\"]"			"英語（E）"	"工学部"	"2"		1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251153	"(IUPE)Environmental Systems Engineering Ⅱ"					"[\"島岡　隆行\"]"			"英語（E）"	"工学部"	"2"		1	2021	"夏学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251154	"(IUPE)Manufacturing ProcessesⅠ"					"[\"品川　一成\"]"			"英語（E）"	"工学部"	"2"		1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251155	"(IUPE)Manufacturing ProcessesⅡ"					"[\"黒河　周平\"]"			"英語（E）"	"工学部"	"2"		1	2021	"夏学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251156	"(IUPE)Technical CommunicationⅠ"					"[\"Robertson Andrew\"]"			"英語（E）"	"工学部"	"3"		1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251157	"(IUPE)Technical CommunicationⅡ"					"[\"Robertson Andrew\"]"			"英語（E）"	"工学部"	"3"		1	2021	"夏学期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251158	"(IUPE)Technical Communication"					"[\"Robertson Andrew\"]"			"英語（E）"	"工学部"	"4"		2	2021	"春期"	"[[\"月曜日\",\"２時限\"]]"		"伊都地区"
21251202	"基礎物理化学第一及び演習"	"[\"ENG-CEN2211J\"]"	"ENG"	"CEN"	"2211J"	"[\"三浦　佳子\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"物質科学工学科（化プロ） / Department of Materials Science and Engineering"	"2"	3	2	2021	"前期"	"[[\"月曜日\",\"３時限\"]]"	"＿"	"伊都地区"
21251203	"航空宇宙機設計製図"	"[\"ENG-AER3521J\"]"	"ENG"	"AER"	"3521J"	"[\"津守　不二夫\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"機械航空工学科（航空） / Department of Mechanical and Aerospace Engineering"	"3"	3	1	2021	"前期"	"[[\"月曜日\",\"３時限\"],[\"月曜日\",\"４時限\"],[\"月曜日\",\"５時限\"]]"	"＿"	"伊都地区"
21251206	"土木実践教室３"	"[\"ENG-CVL2741J\"]"	"ENG"	"CVL"	"2741J"	"[\"石藏　良平\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"地球環境工学科（建都） / Department of Earth Resources, Marine and Civil Engineering （Civil）"	"4"	3	2	2021	"前期"	"[[\"月曜日\",\"３時限\"],[\"月曜日\",\"４時限\"],[\"月曜日\",\"５時限\"]]"	"＿"	"伊都地区"
21251209	"パターン認識A"	"[\"ENG-CSE4341J\"]"	"ENG"	"CSE"	"4341J"	"[\"内田　誠一\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"電気情報工学科（C課程） / Department of Electrical Engineering and Computer Science"	"4"	1	1	2021	"春学期"	"[[\"月曜日\",\"３時限\"]]"	"＿"	"伊都地区"
