"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21171209	"企業金融"	"[\"ECO-ECE3435J\"]"	"ECO"	"ECE"	"3435J"	"[\"内田　交謹\"]"	"2021-04-05T04:14:47.678Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目※2017年度以前入学者は、自由選択科目（両学科共通）"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21171214	"エネルギー経済"	"[\"-\"]"				"[\"Andrew Chapman\"]"	"2021-04-14T13:10:50.883Z"	"（経済・経営学科）選択必修科目／（経済工学科）自由選択科目※2018年度以前入学者は、自由選択科目（両学科共通）"	"日本語（J）"	"経済学部"	"3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171391	"短期語学－現地研修"	"[\"-\"]"				"[\"岩田　健治\"]"	"2021-04-07T12:26:42.888Z"	"自由選択科目"	"英語（E）"	"経済学部"	"2年"	3	2	2021	"後期集中"	"[[\"その他\",\"その他\"]]"	"-"	"伊都地区"
21171401	"外国書講読２（英語経済）①"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"内田　大輔\"]"	"2021-03-29T04:19:00.944Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171402	"外国書講読２（英語経済）②"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"内田　大輔\"]"	"2021-03-29T04:19:00.945Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171403	"外国書講読２（英語経済）③"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"内田　大輔\"]"	"2021-03-29T04:19:00.945Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171404	"外国書講読２（英語経済）④"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"内田　大輔\"]"	"2021-03-29T04:19:00.945Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171405	"外国書講読２（英語経済）⑤"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"内田　大輔\"]"	"2021-03-29T04:19:00.946Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171406	"外国書講読２（日本語経済）①"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"儲　梅芬\"]"	"2021-03-21T11:11:25.727Z"	"選択必修科目"	"英語及び日本語を併用（E/J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171407	"外国書講読２（日本語経済）②"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"儲　梅芬\"]"	"2021-03-21T11:11:25.727Z"	"選択必修科目"	"英語及び日本語を併用（E/J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
