"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"unit"	"year"	"quarter"	"day_time"	"area"	"classroom"	"target_students_from"
21532796	"スペイン語ⅡA"	"[\"KED-LCB1715J\"]"	"KED"	"LCB"	"1715J"	"[\"フジヨシ　ミヨコ\",\"山村　ひろみ\"]"	"2021-09-27T00:53:44.828Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532797	"スペイン語ⅡB"	"[\"KED-LCB1716J\"]"	"KED"	"LCB"	"1716J"	"[\"フジヨシ　ミヨコ\",\"山村　ひろみ\"]"	"2021-09-27T00:57:38.075Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532801	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"大塚　知昇\"]"	"2021-09-27T02:24:31.894Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532802	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"大塚　知昇\"]"	"2021-09-27T02:22:15.896Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532803	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"浜本　裕美\"]"	"2021-08-31T02:51:04.866Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532804	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"浜本　裕美\"]"	"2021-08-31T02:53:40.363Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532807	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"藤内　響子\"]"	"2021-09-22T14:50:14.958Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532808	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"藤内　響子\"]"	"2021-09-22T14:50:50.469Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532813	"専門英語"	"[\"KED-LCB2124W\"]"	"KED"	"LCB"	"2124W"	"[\"WALL DARREN PATRICK\"]"	"2021-09-27T06:34:01.147Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"後期"	"[[\"火曜日\",\"５時限\"]]"	"伊都地区"		
21532815	"入門微分積分Ⅰ"	"[\"KED-SMA1112J\"]"	"KED"	"SMA"	"1112J"	"[\"大津　幸男\"]"	"2021-09-07T04:22:04.047Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532816	"入門微分積分Ⅰ"	"[\"KED-SMA1112J\"]"	"KED"	"SMA"	"1112J"	"[\"松井　卓\"]"	"2021-10-06T08:02:17.204Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532817	"入門微分積分Ⅱ"	"[\"KED-SMA1113J\"]"	"KED"	"SMA"	"1113J"	"[\"大津　幸男\"]"	"2021-09-07T04:26:25.246Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532818	"入門微分積分Ⅱ"	"[\"KED-SMA1113J\"]"	"KED"	"SMA"	"1113J"	"[\"松井　卓\"]"	"2021-10-06T08:03:07.540Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532823	"フランス語圏の言語と文化"	"[\"KED-LCF2341J\"]"	"KED"	"LCF"	"2341J"	"[\"安藤　智子\"]"	"2021-08-30T08:20:35.330Z"	"言語文化自由選択科目"	"日本語（J）"	2	2021	"後期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532850	"Speaking Courses：Advanced A"	"[\"KED-LCB1855J\"]"	"KED"	"LCB"	"1855J"	"[\"西頭　由紀子\"]"	"2021-09-28T04:27:53.192Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532854	"Speaking Courses：Advanced B"	"[\"KED-LCB1856J\"]"	"KED"	"LCB"	"1856J"	"[\"西頭　由紀子\"]"	"2021-09-28T04:30:45.135Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532855	"Speaking Courses：Elementary 1A"	"[\"KED-LCB1865J\"]"	"KED"	"LCB"	"1865J"	"[\"脇坂 真彩子\"]"	"2021-10-01T06:13:41.070Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532856	"Speaking Courses：Elementary 1B"	"[\"KED-LCB1866J\"]"	"KED"	"LCB"	"1866J"	"[\"脇坂 真彩子\"]"	"2021-10-01T06:15:19.910Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532857	"Speaking Courses：Elementary 2A"	"[\"KED-LCB1845J\"]"	"KED"	"LCB"	"1845J"	"[\"西島　志\"]"	"2021-09-15T02:26:44.348Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532858	"Speaking Courses：Elementary 2B"	"[\"KED-LCB1846J\"]"	"KED"	"LCB"	"1846J"	"[\"西島　志\"]"	"2021-09-15T02:24:51.071Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532859	"Speaking Courses：Intermediate 1A"	"[\"KED-LCB1849J\"]"	"KED"	"LCB"	"1849J"	"[\"平岡　貴子\"]"	"2021-09-30T03:23:47.230Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532860	"Speaking Courses：Intermediate 1B"	"[\"KED-LCB1850J\"]"	"KED"	"LCB"	"1850J"	"[\"平岡　貴子\"]"	"2021-09-30T03:36:31.355Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532861	"Speaking Courses：Intermediate 2A"	"[\"KED-LCB1851J\"]"	"KED"	"LCB"	"1851J"	"[\"高田　恭子\"]"	"2021-09-26T22:52:43.124Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532862	"Speaking Courses：Intermediate 2B"	"[\"KED-LCB1852J\"]"	"KED"	"LCB"	"1852J"	"[\"高田　恭子\"]"	"2021-09-24T03:02:41.113Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
