"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21704508	"比較音楽理論"	"[\"DES-ACD2321J\"]"	"DES"	"ACD"	"2321J"	"[\"矢向　正人\",\"西田　紘子\"]"	"2021-04-06T03:08:49.196Z"	"コース専門科目　Course Specialized Subjects"	"日本語（J）"	"芸術工学部　音響設計コース　Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"夏学期"	"[[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"]]"	"321"	"大橋地区"
21704211	"ビジネスデザイン論・演習Ⅰ"	"[\"DES-IND2221J\"]"	"DES"	"IND"	"2221J"	"[\"松前　あかね\",\"田村　良一\",\"平井　康之\",\"都甲　康至\"]"	"2021-05-25T04:03:54.333Z"	"コース専門科目　Course Specialized Subjects"	"英語及び日本語を併用（E/J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"夏学期"	"[[\"金曜日\",\"１時限\"],[\"金曜日\",\"２時限\"]]"	"512"	"大橋地区"
21705207	"ビジネスデザイン論・演習Ⅱ"	"[\"DES-IND2222J\"]"	"DES"	"IND"	"2222J"	"[\"田村　良一\",\"松前　あかね\",\"都甲　康至\",\"迫坪　知広\"]"	"2021-05-25T05:43:31.172Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"秋学期"	"[[\"金曜日\",\"１時限\"],[\"金曜日\",\"２時限\"]]"	"5号館4階共同製図室"	"大橋地区"
21702403	"非線形振動論"	"[\"DES-ACD3221J\"]"	"DES"	"ACD"	"3221J"	"[\"尾本　章\",\"鮫島　俊哉\",\"伊藤　浩史\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　音響設計学科　Department of Acoustic Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期"	"[[\"火曜日\",\"５時限\"]]"	"524"	"大橋地区"
21705203	"フィールド調査論・演習"	"[\"DES-IND2311J\"]"	"DES"	"IND"	"2311J"	"[\"田村　良一\",\"LOH PING YEAP\",\"西村　貴孝\",\"藤　智亮\",\"村木　里志\"]"	"2021-06-18T06:46:03.351Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	4	2021	"後期"	"[[\"月曜日\",\"４時限\"],[\"月曜日\",\"５時限\"]]"	"512"	"大橋地区"
21702506	"フィールドワーク演習"	"[\"DES-AID3222W\"]"	"DES"	"AID"	"3222W"	"[\"吉村　理一\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"芸術工学部　芸術情報設計学科　Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期集中"	"[[\"その他\",\"その他\"]]"	"未定／TBA"	"大橋地区"
21700211	"福祉人間工学（2019年度以前入学者対象）"	"[\"DES-IND2121J\"]"	"DES"	"IND"	"2121J"	"[\"村木　里志\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　工業設計学科　Department of Industrial Design"	"学部2年　Undergraduate second grade"	1	2	2021	"夏学期"	"[[\"火曜日\",\"５時限\"]]"	"531"	"大橋地区"
21704208	"福祉人間工学（2020年度入学者対象）"	"[\"DES-IND2131J\"]"	"DES"	"IND"	"2131J"	"[\"村木　里志\"]"	"2021-03-31T02:47:37.141Z"	"コース専門科目　Course Specialized Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"夏学期"	"[[\"火曜日\",\"５時限\"]]"	"531"	"大橋地区"
21705065	"物質文化論"	"[\"DES-END2111J\"]"	"DES"	"END"	"2111J"	"[\"谷　正和\"]"	"2021-05-26T08:10:06.906Z"	"コース専門科目　Course Specialized Subjects"	"英語及び日本語を併用（E/J）"	"芸術工学部　環境設計コース/未来構想デザインコース　Environmental Design Course/Design Futures Course"	"学部2年　Undergraduate second grade"	1	1	2021	"冬学期"	"[[\"金曜日\",\"２時限\"]]"	"524"	"大橋地区"
21705308	"プラットフォーム演習 A"	"[\"DES-DFT2611W\"]"	"DES"	"DFT"	"2611W"	"[\"中村　美亜\",\"近藤　加代子\",\"平松　千尋\"]"	"2021-09-28T04:20:14.987Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　未来構想デザインコース　Design Futures Course"	"学部2年　Undergraduate second grade"	1	4	2021	"秋学期"	"[[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"],[\"金曜日\",\"５時限\"]]"	"7号館1F ワークショップ室"	"大橋地区"
